"subject","gender","trial","duration","intensity","pitch","delay","video","stimulus","syllables","speech_rate"
1,"m",1,11.577643,62.15339857,130.0132565,200,0,5,15,1.29560049485029
1,"m",2,6.162868,76.5447987,127.3552034,200,0,6,15,2.43393173438081
1,"m",3,9.440232,72.2527507,130.6873384,200,1,4,17,1.80080320059931
1,"m",4,9.796467,72.10908674,130.8999466,200,0,8,18,1.83739709427899
1,"m",5,7.445315,75.31628101,125.6304082,200,1,1,18,2.41762772965281
1,"m",6,8.941503,70.70293798,124.4515155,200,0,1,18,2.01308437742514
1,"m",7,7.979667,70.38358081,132.4137646,200,1,2,15,1.87977768997127
1,"m",8,3.989834,71.83536107,124.0292873,0,0,5,15,3.75955490880072
1,"m",9,4.488563,69.81965033,117.6768627,0,1,4,17,3.78740367462816
1,"m",10,8.656514,71.47143903,125.3682655,200,0,7,17,1.96383902342213
1,"m",11,9.72522,69.03513414,116.9569787,200,0,4,17,1.74803243525596
1,"m",12,3.455481,75.27747455,115.5678513,0,0,3,15,4.34092967086203
1,"m",13,3.597975,70.63275213,114.0419539,0,0,10,17,4.72487996720377
1,"m",14,3.669223,68.98360606,122.1522386,0,1,5,15,4.08805897052319
1,"m",15,8.442773,71.46409194,120.5133429,200,1,7,17,2.01355644644242
1,"m",16,3.516006,72.17648345,117.6299478,0,1,1,18,5.11944518866009
1,"m",17,7.944044,73.41247244,121.7342283,200,0,3,15,1.88820706431133
1,"m",18,9.155244,69.26770485,131.6176694,200,0,10,17,1.85685930380446
1,"m",19,7.267198,77.10029844,121.867692,200,1,3,15,2.06406926025684
1,"m",20,3.74047,72.40341248,115.8373612,0,1,10,17,4.54488339700626
1,"m",21,3.811716,72.84042532,121.9951344,0,0,7,17,4.45993353124944
1,"m",22,3.161438,70.80563098,119.797648,0,1,2,15,4.74467631501867
1,"m",23,3.526728,68.65596703,122.483082,0,0,1,18,5.10388099110564
1,"m",24,7.694679,66.0008534,112.1070267,200,0,2,15,1.94939905875216
1,"m",25,10.473314,70.75176918,119.3910128,200,1,9,18,1.7186537136192
1,"m",26,3.776092,70.34080643,124.1251262,0,0,8,18,4.76683301148383
1,"m",27,2.849881,72.95947705,114.8187764,0,1,3,15,5.2633776638393
1,"m",28,3.206117,71.14376701,108.7350272,0,0,6,15,4.67855664656031
1,"m",29,3.312987,71.10250077,110.4174,0,0,9,18,5.43316348660589
1,"m",30,8.905879,67.13509059,118.4900986,200,1,5,15,1.68428068694848
1,"m",31,3.275338,71.47709787,113.5828287,0,1,7,17,5.19030402358474
1,"m",32,12.111995,73.04878348,115.1839781,200,1,10,17,1.40356729011199
1,"m",33,11.257031,76.63760453,111.3817004,200,0,9,18,1.59900066012077
1,"m",34,4.132328,70.23183173,105.3589063,0,1,6,15,3.62991514710352
1,"m",35,4.025457,68.67905342,107.9958718,0,1,8,18,4.47154198889716
1,"m",36,10.687055,74.64402656,115.6701357,200,1,8,18,1.68428065542846
1,"m",37,8.620891,73.02822875,113.2590842,200,1,6,15,1.73995936150915
1,"m",38,3.455481,69.50268102,109.2325542,0,0,2,15,4.34092967086203
1,"m",39,3.455482,69.11923482,112.1021369,0,0,4,17,4.91971886990006
1,"m",40,3.277364,71.48357331,111.5617476,0,1,9,18,5.49221874652922
1,"m",41,2.956752,72.76239067,111.3946525,0,1,3,15,5.07313430412831
1,"m",42,9.974585,72.56768272,113.8387943,200,1,7,17,1.70433155865633
1,"m",43,9.440232,72.7221477,106.020626,200,0,9,18,1.90673280063456
1,"m",44,11.996428,71.96135783,114.8061461,200,0,4,17,1.41708848667287
1,"m",45,11.577643,71.89212017,107.1665051,200,1,9,18,1.55472059382035
1,"m",46,7.908421,74.17039684,107.8894189,200,1,3,15,1.89671237785646
1,"m",47,7.160327,71.69539223,107.0121978,200,0,2,15,2.094876393215
1,"m",48,10.615808,70.55207416,113.0413964,200,0,1,18,1.69558454712067
1,"m",49,3.206117,71.28716982,114.7506754,0,0,5,15,4.67855664656031
1,"m",50,3.562352,70.73034578,107.9368583,0,1,8,18,5.0528414934852
