subject,gender,trial,shift,max_response,mean_response,slope,p_value
1,M,1,-2,35.57137537,11.39394584,0.035122981,0.000520607
1,M,2,-1,82.27479719,32.35043813,0.056319279,9.1942E-12
1,M,3,0,69.41417633,47.73442819,0.088078448,0
1,M,4,1,76.31973862,37.63716092,0.039092694,0.053229655
1,M,5,-1,72.5496182,33.48738201,0.002222381,0.838225195
1,M,6,1,46.62752563,25.53875386,0.015991712,0.026632854
1,M,7,2,46.80597467,15.24363942,0.047951131,3.37752E-12
1,M,8,-2,56.76606683,15.2916655,-0.011919087,0.033595656
1,M,9,0,35.95303962,19.88070329,-0.073367015,0
1,M,10,2,74.26214226,50.02987591,-0.251717871,0
1,M,11,0,36.08280805,10.79825848,0.044032252,0
1,M,12,-2,143.5290573,79.39729165,0.292392522,0
1,M,13,-1,57.77357314,39.59834702,-0.174411783,0
1,M,14,1,62.92332384,37.63821721,-0.08601219,0
1,M,15,-1,59.65304467,29.86285948,0.027652289,1.61706E-09
1,M,16,1,113.0944458,53.71061058,0.283033478,0
1,M,17,0,27.33987735,13.17010398,-0.007669181,0.073722417
1,M,18,-2,49.47658224,27.10605364,-0.137763769,0
1,M,19,2,66.51910199,30.13323841,-0.075435635,0
1,M,20,0,12.94376186,6.960858076,-0.069148619,0
1,M,21,-2,28.62039109,15.26352527,-0.099447647,0
1,M,22,1,64.38386429,29.02388027,-0.11079327,0
1,M,23,2,58.67059549,35.82623232,-0.065974199,0
1,M,24,-1,13.14572587,3.873827742,0.021529496,1.2984E-07
1,M,25,2,76.1063168,62.05482927,-0.134988946,0
1,M,26,-1,35.53880328,14.22671971,0.096803407,0
1,M,27,1,37.39543157,22.27968756,-0.132587851,0
1,M,28,0,129.3441846,86.79693668,-0.245773393,0
1,M,29,-2,76.43979914,29.32365153,-0.082294307,0
1,M,30,0,46.61642333,34.62131838,-0.011230353,0.001449667
1,M,31,-2,85.92407293,51.49728704,-0.077956008,0
1,M,32,-1,56.06543061,15.52342506,0.038551519,0
1,M,33,2,139.5866026,90.01796974,-0.194390489,0
1,M,34,1,53.11993278,29.74536556,-0.060839561,0
1,M,35,2,96.44993461,65.67338039,-0.210282836,0
1,M,36,-1,62.2428017,20.21788596,0.004895509,0.530666885
1,M,37,1,72.70680113,27.59386115,0.000612725,0.901512618
1,M,38,-2,24.75719446,13.92211238,-0.06549794,0
1,M,39,0,48.31254864,20.02805569,-0.050784041,0
1,M,40,-1,27.03239783,14.39871382,-0.044974798,0
1,M,41,0,49.72057635,36.61912957,-0.113175491,0
1,M,42,-2,23.55226026,10.53465305,-0.027974445,5.13338E-07
1,M,43,1,46.25308708,18.31244366,-0.012951169,0.134534336
1,M,44,2,73.45584108,33.83439785,-0.188511785,0
1,M,45,2,117.4117621,45.53954432,-0.066645622,0
1,M,46,1,87.82703075,56.90227452,-0.172913146,0
1,M,47,-1,25.13038609,13.54709685,-0.132977656,0
1,M,48,0,66.82446169,49.2402022,-0.163711432,0
1,M,49,-2,42.76071789,21.90122378,-0.050309893,2.75335E-14
1,M,50,1,78.56209933,58.03357965,-0.10965318,0
1,M,51,-1,31.589171,14.00670379,-0.00235601,0.796502799
1,M,52,2,126.6736596,87.07368652,-0.355957038,0
1,M,53,-2,41.93328892,16.29699822,-0.208322622,0
1,M,54,0,91.69338689,69.78102296,-0.176239937,0
1,M,55,2,71.16194828,20.47474662,-0.069179841,0
1,M,56,0,60.09334985,47.4211536,-0.15276132,0
1,M,57,1,22.53190246,9.351459657,0.009289625,0.036355604
1,M,58,-1,41.15312453,21.82619582,0.02989627,7.86249E-09
1,M,59,-2,27.49698065,8.817259033,0.125960407,0
1,M,60,1,55.18102401,33.57854666,-0.097170371,0
1,M,61,0,25.56184785,10.66726101,0.043674067,2.22099E-08
1,M,62,2,38.81392718,19.69432651,-0.058171471,0
1,M,63,-1,55.72474756,24.55202365,0.044294601,2.13543E-06
1,M,64,-2,40.50610391,15.65977112,-0.121075069,0
1,M,65,1,39.11188903,18.60202206,-0.005370755,0.50759865
1,M,66,0,41.91671623,19.73258781,0.066654071,0
1,M,67,-2,37.40325645,18.30199771,-0.042555744,0
1,M,68,2,55.02762468,21.75594698,-0.081914582,0
1,M,69,-1,74.56635874,51.60226193,-0.045596571,6.85206E-07
1,M,70,0,48.25986326,28.94271125,0.126115812,0
1,M,71,-2,45.78878891,23.80800514,-0.042245149,2.51202E-09
1,M,72,2,74.69235522,24.97192849,0.112975134,0
1,M,73,1,90.4810671,77.99642869,-0.149759008,0
1,M,74,-1,36.76351669,18.58214827,0.092254507,0
1,M,75,-2,94.94116879,56.41416535,-0.183967759,0
1,M,76,-1,25.53508138,16.1545803,0.09278167,0
1,M,77,1,98.97329329,72.08456671,-0.16639998,0
1,M,78,0,45.05543937,26.26862651,-0.114700333,0
1,M,79,-1,34.64250859,16.65271208,0.041949614,0
1,M,80,-2,29.04260494,8.987761318,-0.008399689,2.4013E-06
1,M,81,0,52.24142274,33.91979378,-0.103891873,0
1,M,82,2,42.54302195,24.25049863,-0.09983175,0
1,M,83,1,71.08468876,46.040379,-0.101920816,0
1,M,84,0,32.88686021,23.48128619,-0.155415356,0
1,M,85,2,42.61496943,26.44580691,-0.101553088,0
1,M,86,-1,46.72482633,12.78050509,0.091670851,0
1,M,87,-2,52.89932734,28.50140654,0.136000459,0
1,M,88,-2,37.48399582,14.95621971,0.05629679,6.6871E-12
1,M,89,2,63.41020905,23.1584991,-0.009862287,0.102190745
1,M,90,-1,24.4922653,7.939478372,0.049072286,0
1,M,91,0,56.69714959,33.12902755,-0.067640389,0
1,M,92,1,32.43784023,20.96486906,-0.070204377,0
1,M,93,-2,28.78425057,15.36168205,-0.009834062,0.059299837
1,M,94,1,70.90878098,40.53888746,-0.137246801,0
1,M,95,2,42.82724453,20.47682534,-0.130994956,0
1,M,96,-1,69.12499625,18.8038178,-0.021346394,0.028166501
1,M,97,-1,44.78936925,14.15833517,-0.094444677,0
1,M,98,0,47.53248324,20.34527658,0.060938909,8.11621E-09
1,M,99,1,77.10093755,47.8751921,-0.18164412,0
1,M,100,2,21.36896861,9.438341237,0.016868543,0.00443155
1,M,101,-2,64.03533532,21.40274168,-0.074388936,0
1,M,102,-1,23.73104189,9.190181805,-0.091522762,0
1,M,103,0,36.95848885,20.5739516,0.049599058,8.28395E-11
1,M,104,2,88.69223918,36.16771183,0.083907364,5.28293E-08
1,M,105,-2,28.54709076,10.35685686,0.039697743,3.85561E-06
1,M,106,1,51.18243226,31.25441946,-0.111403302,0
1,M,107,-2,35.59739243,18.16828047,0.059563696,2.08824E-11
1,M,108,-1,81.18586097,61.08805892,-0.15384083,0
1,M,109,0,61.01145425,26.38490047,-0.004511976,0.712382372
1,M,110,2,30.37438895,8.910385874,-0.091236089,0
1,M,111,-1,38.30784314,17.91038326,-0.021030878,0.000323872
1,M,112,1,28.06699532,11.87686505,-0.076784945,0
1,M,113,2,45.98882148,23.11354264,0.076700561,0
1,M,114,0,67.57396393,21.03577251,-0.027706421,7.66653E-10
1,M,115,-2,54.85687632,19.22791482,-0.106195635,0
1,M,116,2,76.9531792,22.25426292,0.00327695,0.582132872
1,M,117,1,45.65013448,12.338515,-0.100037109,0
1,M,118,-2,68.98747627,27.17835613,-0.225703777,0
1,M,119,-1,64.53027407,51.21650259,-0.182369609,0
1,M,120,0,57.21671815,30.94083154,0.091845626,0
1,M,121,0,70.80997782,45.17735299,-0.142556524,0
1,M,122,-2,86.2915435,51.45864406,0.18214287,0
1,M,123,-1,57.08288148,38.96406598,-0.12335779,0
1,M,124,2,55.91579456,29.39691679,-0.258389185,0
1,M,125,-2,31.83437164,12.39748304,0.082306123,0
1,M,126,0,40.53710844,12.92317186,0.071722237,2.22045E-16
1,M,127,2,71.0411263,33.58981466,0.017084279,0.096146528
1,M,128,0,52.48121595,18.98685746,0.091020479,0
1,M,129,1,64.71379212,23.15890166,-0.080308022,2.50311E-12
1,M,130,-1,35.41143277,9.926673209,0.037202843,1.44236E-11
1,M,131,1,105.5088871,72.90614934,-0.158354489,0
